"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"January 25, 2016","HealthEquity","Draper, Utah","DISC","MED","Unknown","Unknown","Health Equity notified individuals of a data breach when an employee inadvertently sent an email on December 11, 2015 containing personal information to another employer the company conducts business with.The information compromised included Social Security numbers.The company is providing identity monitoring services through Kroll for one year for free. More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-59797","California Attorney General",""
"February 12, 2016","Magnolia Health Corporation","Tulare, California","HACK","MED","Unknown","Unknown","Magnolia Health Corporation has notified individuals of a data breach when someone impersonating the CEO in an email, obtained personal information for all active employees of the health center. Magnolia Health Corporation and each of their facilities managed including Twin Oaks Assisted Living, Inc., Twin Oaks Rehabilitation And Nursing Center, Inc., Porterville Convalescent, Inc., Kaweah Manor, Inc., Merritt Manor Inc.The personal information compromised included employee numbers, names, addresses, city, state, zip code, sex, dates of birth, Social Security numbers, hire dates, seniority dates, salary/hourly, salary/rates, departments, job titles, last dates paid, and names of facility.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60061","California Attorney General",""
"March 4, 2016","21st Century Oncology","Fort Meyers, Florida","HACK","MED","2.2 million records across all 50 states.","2,200,000","21st Oncology notified individuals of a data breach of patient information via unauthorized access to their database. The information compromised included names, Social Security numbers, physician's name, diagnosis and treatment information, and insurance information. The company is offering Experian's Protect My ID to those who were affected.More information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60307UPDATE (3/24/2016): 3 class action lawsuits have been filed against 21st Century Oncology over a major data breach of patient data. ""Patients affected by a recent computer data breach at 21st Century 
Oncology have filed federal class-action lawsuits, claiming the Fort 
Myers-based cancer-care provider failed to adequately protect sensitive 
medical and personal information.""More Information: http://www.news-press.com/story/news/2016/03/23/21st-century-breach-prom...","California Attorney General",""
"February 2, 2015","Boston Baskin Cancer Foundation","Memphis, Tennessee","PORT","MED","56,694","56,694","Boston Baskin Cancer Foundation notified individuals of a data breach when a laptop computer and external hard drive were stolen. The hard drive contained personal information of patients. The information included patient names, dates of birth, Social Security numbers, addresses, phone numbers, clinic medical record numbers and the last dates seen by the clinic.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 4, 2015","South Sunflower County Hospital","Indianola, Mississippi","DISC","MED","19000","19,345","""A local merchant sent a package with shredded documents containing protected health information (PHI) from the covered entity (CE), South Sunflower County Hospital, used as packing material.""The information compromised included dates of service, providers names, diagnoses, patient names, Social Security numbers, and dates of birth. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 5, 2015","Planned Parenthood Southwest Ohio","Cincinnati, Ohio","DISC","MED","5000","50,000","Planned Parenthood mistakenly disposed of binders containing protected health information. The information included archived prescription dispending logs and lab test logs.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"April 8, 2016","OptumRx","Eden Prairie, Minnesota","PORT","MED","Unknown","Unknown","OptumRx notified individuals of a data breach when a third party vendor that provides home delivery of prescription services had a laptop computer stolen from an employee vehicle. The laptop contained personal information of OptumRx customers.The information on the laptop included names, addresses, health plan name, prescription drug information and prescribing provider information.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-60898","California Attorney General",""
"February 6, 2016","Senior Health Partners","New York, New York","PORT","MED","2,772","Unknown","Health and Human Services has reported a breach with Senior Health Partners when a portable device was stolen.More Information:https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 9, 2015","Dr. Arturo Tomas","Ottawa, Illinois","PHYS","MED","680","Unknown","""On February 2, 2014, Arturo D. Tomas, MD LTD's office, the covered entity (CE), discovered that a package containing the protected health information (PHI) of approximately 680 individuals had been lost in the process of shipment to its billing company through the U.S. Postal Service (USPS). The PHI included individuals names, addresses, phone numbers, dates of birth, referring physician names, medical record numbers, diagnoses, and clinical information.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 9, 2015","Haywood County NC","Haywood County, North Carolina","STAT","MED","955","Unknown","""On or around October 31, 2014, a paper accounts receivable report went missing from the covered entity (CE) billing office.  The report contained the protected health information (PHI) of 955 individuals and included patients internal identifications numbers, names, clinics visited, and amounts owed.  The CE provided breach notification to HHS, affected individuals, and the media, and set up a toll free number anser line and e-mail contact.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 12, 2016","Pathway to Hope","Fort Lauderdale, Florida","DISC","MED","600","Unknown","As reported by Health and Human Services unauthorized access/disclosure to emails. No specific information as to what was contained in the emails was provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"April 18, 2016","Hunt Regional Medical Partners","Greenville, Texas","DISC","MED","3,000","3,000","""Vandals broke into a building storing paper protected health information (PHI) for the covered entity (CE), Hunt Regional Medical Partners.  The types of PHI involved in the breach included patients' names, addresses, dates of birth, Social Security numbers, claims information, and patients' chart information. Approximately 3,000 individuals were affected.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"May 9, 2016","Bay Area Children's Association","Oakland, California","HACK","MED","Unknown","Unknown","Bay Area Children's Network notified individuals of a data breach, when an unauthorized person (s) accessed their patient account records. The patient information acquired was due to the result of malware installed sometime in January 2015.The information compromised included names, addresses, telephone numbers, dates of birth, Social Security numbers, medical inurance and health visit information. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-61688","California Attorney General",""
"May 5, 2016","Saint Agnes Medical Center","Fresno, California","HACK","MED","2812 Saint Agnes employees.","2,812","""Saint Agnes Medical Center was targeted by an isolated email phishing attack in which a scammer impersonated our Chief Executive Officer and requested that W-2 information be sent via email. There was no breach to any of our Sant Agnes systems and all patient information remains secure. Rather, we were a target of what is known as a BEC (Business Email Compromise/Correspondence) attack, which typically focuses on tax information that can be used to obtain fraudulent returns.""The information compromised is the information you would find on a W2 form, including names, addresses, salary information, withholding information and Social Security numbers. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-61673","California Attorney General",""
"February 20, 2015","Marketing Clique",", Texas","DISC","MED","8700","Unknown","No specific details per Health & Human Services website as to what specifically was breached.More information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","",""
"May 31, 2016","Verity Health System","Redwood City, California","HACK","MED","Unknown","Unknown","""May 23, 2016, Verity Health System was targeted with an isolated email phishing scam in which a scammer impersonated a Verity executive and requested that certain employee information be sent via email. This scam did not affect any patient information or the delivery of healthcare to our patients.""The information breached included current and former employees information on their W2 form.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-62088","California Attorney General",""
"May 23, 2016","Berkeley Endocrine","Berkeley, California","HACK","MED","Unknown","Unknown","""On April 22, 2016, my office was subject to a spam email which we believe went to many patients. Though no patient information was affected by that correspondence, we sent a notification email to al individuals on our email list, informing them of the spam. Inadvertently, the recipient list for the notificaation email on April 22, 2016 was not hidden.""The information compromised included first and last names, email addresses.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-61958 ","California Attorney General",""
"February 26, 2015","Raymond Mark Turner, M.D.","Las Vegas, Nevada","PORT","MED","2,153","2,153","""One unencrypted laptop computer was stolen during business hours wile the office of Dr. Robert Mark Turner was in the process of updating and encrypting its computers.  A file on the stolen laptop contained the electronic protected health information (ePI) of 2,153 individuals which included names, addresss, dates of birth, Social Security numbers, drivers license numbers, health insurance information, and records of medical treatment.  The covered entity (CE) provided breach notifications to HHS, affected individuals, and the media and provided credit monitoring and identity theft protection to affected individuals.  In response to the breach, the CE improved physical safeguards and enhanced technical safeguards by implementig an encryption management program for all computer syystems. OCR reviewed the CE's HIPAA risk assessment and provided technical assistance on the required elements of a risk analysis and risk management plan."" More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 27, 2015","St. Vincent Hospital and Health Care Center Inc. ","Indianapolis, Indiana","DISC","MED","63,325","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 27, 2015","Cathrine Steinborn, DDS","Santa Clara, California","PORT","MED","3,224","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 27, 2015","Aventura Hospital and Medical Center","Aventura, Florida","HACK","MED","686","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 1, 2015","Amedisys","Baton Rouge, Louisiana","HACK","MED","6909","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 2, 2015","Advance Rehabilitation & Consulting LTD","Calhoun, Georgia","HACK","MED","570","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 2, 2015","Georgia Department of Community Health","Cordele, Georgia","HACK","MED","557,779","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 5, 2015","St. Mary's Health","Lafayette, Indiana","HACK","MED","3,952","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 5, 2015","Sharon J. Jones M.D.","San Pablo, California","PHYS","MED","1,342","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 6, 2015","Valley Community Healthcare","Hollywood, California","PORT","MED","1,233","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 5, 2015","Mosaic Medical","Prineville, Oregon","PHYS","MED","2,207","Unknown","""An intruder entered the administrative office of the covered entity (CE) through a window. Nothing was stolen; however, the protected health information b(PHI) of 2,202 individuals was stored in the offic.  The PHI involved in the breach included names, medical information, medical inusreance information, addresses, phone numbers, and email addresss.  The CE provided breach notification to HHS, affected individuals, and the media. Followng the breach, the CE moved its administrative office to another location wih improved physical safeguards.  In addition, the CE instructed staff on its procedures for securely storing PHI, OCR obtained assurance that the CE implemented the corrective action listed above.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 3, 2015","Clinical Reference Laboratory","Lenexa , Kansas","DISC","MED","4,668","Unknown","""A parcel addressed by the covered entity (CE), Clinical Reference Laboratory, Inc., to Personalized Prevention, was damaged and opened during the mailing process by the United States Postal Service on or about November 4, 2014.  The types of protected health nformation (PHI) involved in the breach included the names, partial Social Security Numbers, dates of service, and lab test types of 4,668 individuals.  Since multiple breach reports have been received involving the same CE and fact pattern, this nvestigation is being closed and consolidated into one OCR investigation.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 6, 2015","Indiana State Medical Association","Indianapolis, Indiana","PORT","MED","38,351","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 6, 2015","San Francisco General Hospital and Trauma Center","San Francisco, California","PHYS","MED","2,500","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 11, 2015","Dr. Anthony T.R. Green DDS","Jamaica, New York","DISC","MED","7,448","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 12, 2015","Virginia Department of Medical Assistance Services","Richmond, Virginia","HACK","MED","697,586","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 13, 2015","EyeCare of Bartlesville","Bartlesville, Oklahoma","HACK","MED","4,000","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 13, 2016","Momentum for Mental Health","San Jose, California","HACK","MED","Unknown","Unknown","""On June 3, 2016, Momentum was targeted by an e-mail scam called ""spoofing"".  We discovered this incident within hours of it taking place.  Nonetheless, it resulted in Momentum inadvertently making person information from your Form W-2 available to an unknown third party.""The information compromised included Social Security numbers, information, wage information, tax deductions.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-62338","California Attorney General",""
"May 16, 2016","Zocdoc, Inc. ","New York, New York","DISC","MED","Unknown","Unknown","""As you know, Zocdoc allows you to book appointments with doctors who list their medical or dental practices on our service.  Each practice registered with Zocdoc receives usernames which allow staff members to access Zocdoc's system (the ""Provider Dashboard"") to view appointments and other information you provide when you book an appointment. In June 2015, we learned of programming errors in the processes responsible for managing username access the Provider Dashboard, and therefore potentially view your personal information, after their usernames were removed, deleted or otherwise limited.""The information compromised included names, email addresses, phone numbers, Social Security numbers, appointment history, insurance member ID and other medical history. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-61838","California Attorney General",""
"May 13, 2016","Imperial Valley Family Care Medical Group, APC","El Centro, California","PORT","MED","Unknown","Unknown","""On March 21, 2016 there was a burglary at the office of Dr. Sampat and a single laptop computer was taken from the premises. A police report of the incident was filed with the El Centro Police Department.  We have discovered dring our investigation of the incident that the laptop may have contained your personal information including name, address, date of birth, and personal health information.""More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-61822","California Attorney General",""
"January 15, 2016","CDC/NIOSH/World Trade Center Health Program (WTCHP)","Atlanta, Georgia","DISC","MED","597","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"January 21, 2016","The University of Texas System Administration","Austin, Texas","DISC","MED","794","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 2, 2016","Louisiana Healthcare Connections","Baton Rouge, Louisiana","PHYS","MED","13,086","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 3, 2016","Rite Aid, New York","Poughkeepsie, New York","HACK","MED","976","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 5, 2016","Borgess Medical Center dba-Borgess Rheumatology","Kalamazoo, Missouri","DISC","MED","700","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 8, 2016","SEIM Johnson LLP","Elkhorn, Nevada","PORT","MED","30,972","Unknown","""A business associate (BA), Seim Johnson, LLP, reported on behalf of 10 health care provider clients that its health care auditor took his firm-issued laptop computer on a non-business weekend trip.  When the employee arrived home from this trip, he discovered the backpack containing the laptop was missing.  The laptop contained the protected health information (PHI) of 30,972 individuals and included demographic, clinical, and financial information.  The BA provided breach notification to HHS, affected individuals, and the media.  After investigating this incident, the BA determined that the laptop may not have been effectively encrypted.  Following the breach, the BA sanctioned the involved employee and its security officer, retrained employees on security risks involving portable devices, and implemented new policies and procedures.  OCR obtained assurances that the BA implemented the corrective actions listed above.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 12, 2016","Blue Cross Blue Shield of South Carolina","Columbia, South Carolina","DISC","MED","998","Unknown","""A business associate (BA), Blue Cross\Blue Shield, of the covered entity (CE), South Carolina Public Employee Benefit Authority, incorrectly mailed pre-authorization dental letters to the CE's members due to a computer error.  Duing the mailing sorting process, the names of the envelopes were not matched to the correct addresses.  The breach affected 998 individuals and included financial, demographic, and clinical information.  The BA provided breach notification to HHS, affected individuals, and the media.  Following the breach, the BA revised its procedures for ensuring data integrity and accuracy and enhanced procedures to include a quality control validation step.  The BA trained systems support staff and confirmed that it requires all of its employees, contractors and consultants employed or retained for longer than 45 days to receive HIPAA training.  OCR obtained assurances that the BA implemented the corrective actions listed above.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","California Attorney General",""
"February 19, 2016","Roark's Pharmacy","Oneida, Tennessee","PHYS","MED","3,000","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure to emails. No specific information as to what was 
contained in the emails was provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"March 7, 2016","Complete Family Foot Care","Lincoln, Nebraska","HACK","MED","5,883","Unknown","As reported by Health and Human Services Hacking/IT Incident to electronic Medical Record, Network Server.  No specific information as to what information was compromised was provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf ","Government Agency",""
"March 4, 2016","Walgreen Co.","Deerfield, Illinois","PHYS","MED","880","Unknown","As reported by Health and Human Services theft/paper films. No specific information as to what was information was compromised was provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"March 4, 2016","Premier Healthcare, LLC","Bloomington, Indiana","PORT","MED","205,748","205,748","""Premier Healthcare, a Bloomington based physician-led multispecialty 
provider healthcare group, is reporting a possible data breach that 
could affect over 200,000 people after a laptop containing patient 
information was stolen.""The information compromised included names, addresses, dates of birth, Social Security numbers, financial information, medical record numbers, insurance information, and clinical information.More Information: http://fox59.com/2016/03/08/premier-healthcare-reports-possible-data-bre...As reported by Health and Human Services theft/laptop. No specific 
information as to what  information was compromised was provided by 
health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Media",""
"March 4, 2016","Cardiology Associates of Jonesboro, Inc.","Jonesboro, Arkansas","DISC","MED","1,669","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure paper films. No specific information as to what information was compromised was provided by 
health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"March 4, 2016","City of Hope","Santa Clarita, California","HACK","MED","1,024","Unknown","As reported by Health and Human Services Hacking/IT incident/email.  No specific information as to what information was compromised was provided by 
health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"March 3, 2016","Centers Plan for Healthy Living","Staten Island, New York","PORT","MED","6,893","Unknown","As reported by Health and Human Services Theft/laptop. No specific information as to what  information was compromised was provided by 
health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"March 1, 2016","Walmart Stores, Inc. ","Bentonville, Arkansas","HACK","MED","4,800","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure electronic medical record. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 29, 2016","Group Life Hospital and Medical Program","Hartford, Connecticut","HACK","MED","3,000","Unknown","As reported by Health and Human Services hacking/IT incident. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 27, 2016","Mind Springs Health","Grand Junction, Colorado","HACK","MED","2,147","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure network server. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","The Eye Institute of Corpus Christi","Corpus Christi, Texas","HACK","MED","43,961","43,961","""The Eye Institute of Corpus Christi, a full service eye care, 
diagnosis, and treatment clinic in Texas, has discovered that 
individuals gained access to the records of all of its patients, 
downloaded their protected health information from the EHR, copied those
 data, and provided them to two physicians formerly employed by the eye 
clinic.
The disclosed data include the names of patients, their addresses, 
contact telephone numbers, Social Security numbers, dates of birth, 
medical diagnoses, details of treatment, and health insurance details.""More Information: http://www.hipaajournal.com/data-breach-discovered-by-the-eye-institute-...More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","Freeport Memorial Hospital","Freeport, Illinois","PORT","MED","1,349","Unknown","As reported by Health and Human Services theft/other. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","Ecolab Health and Welfare Benefits Plan","St. Paul, Minnesota","HACK","MED","1,550","Unknown","As reported by Health and Human Services Hacking/IT incident. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","Valley Hope Association","Norton, Kansas","PORT","MED","52,076","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","Vancouver Radiologists, PC","Vancouver, Washington","DISC","MED","603","Unknown","""The covered entity (CE), Vancouver Radiologists, PC, on January 4, 2016, received telephone calls from a few patients that they received a postcard mammogram reminder, but with another patients name.  The CE mailed 603 postcards which contained names, addresses, and generic reminders to schedule a mammogram. The CE submitted a breach notification report to HHS, affected individuals, and the media.  In response to the breach, the CE stopped mailing the postcard reminder and revised its mailng procedures.  The CE provided OCR with additional documentation specifically its HIPAA Notice of Privacy Practices Policy, as relevant to this breach investigation.  OCR obtained assurances that the CE implemented the corrective actions listed above.  The CE also provided refresher reminders to all staff members about is HIPAA privacy policies and procedures.""More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","Locust Fork Pharmacy","Locust Fork, Alabama","DISC","MED","5,000","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure other. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","BJC HealthCare ACO, LLC","St. Louis, Missouri","HACK","MED","2,393","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure to emails. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 26, 2016","Elliot J Martin Chiropractic PC","Albertson, New York","HACK","MED","1,200","Unknown","As reported by Health and Human Services hacking/IT incident/network server, desktop computer.  No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 19, 2016","Public Health Trust of Miami-Dade County Florida","Miami, Florida","HACK","MED","24,188","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure electronic medical record. No specific information as to what information was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"February 12, 2016","DataStat, Inc. ","Ann Arbor, Michigan","DISC","MED","552","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","California Attorney General",""
"March 8, 2016","Illinois Valley Podiatry Group","Peoria, Illinois","HACK","MED","26,588","26,588","""The Illinois Valley Podiatry Group, 3322 W. Willow Knolls Drive, has 
announced that it has became aware of unauthorized access to its 
computer records, believed to have taken place last year.The names, addresses and Social Security numbers of patients may have been viewed, according to the medical office.""More Information: http://www.pjstar.com/article/20160308/NEWS/160309356As reported by Health and Human Services unauthorized 
access/hacking. No specific information as to what was compromised as provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Media",""
"March 10, 2016","Cromwell Fire District","Cromwell, Connecticut","DISC","MED","500","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure paper films. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 10, 2016","UHHS Geauga Medical Center","Chardon, Ohio","HACK","MED","677","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure electronic medical records. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 10, 2016","Vidant Health","Greenville, North Carolina","HACK","MED","897","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure other. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 10, 2016","Karmanos Cancer Center","Farmington Hills, Michigan","PORT","MED","2,808","Unknown","As reported by Health and Human Services loss/other portable electronic device. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 11, 2016","Virtua Medical Group","Evesham Township, New Jersey","HACK","MED","1,654","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure network server. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 11, 2016","Vibrant Body Wellness","Berkeley, California","PORT","MED","726","Unknown","As reported by Health and Human Services theft/laptop, other portable electronic device. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 14, 2016","JASACare","New York, New York","HACK","MED","1,154","Unknown","""March 15th, 2016:  JASACare, a licensed home care services provider, 
experienced a breach of its email system, resulting in the potential 
exposure of patient and employee information. 
On January 29th, 2016, the email account of a JASACare staff member was 
accessed illegally by individuals outside of JASACare. The unauthorized 
individuals had access to the account for less than two hours over the 
course of a single day. JASACare believes that the individuals accessed 
the account in an attempt to make an illegal transfer of JASACare’s 
funds to the individual(s) bank account.""More Information: http://www.jasa.org/news/jasacare-experiences-breach-of-its-email-system...As reported by Health and Human Services Hacking/IT incident. No specific information as 
to what information was compromised as provided by health and human 
services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"March 15, 2016","Laborers Fund Administrative Office of Northern California, Inc. ","Fairfield, California","DISC","MED","2,373","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
"March 17, 2016","W. Christopher Bryant DDS PC","Grand Rapids, Michigan","PORT","MED","2,200","Unknown","As reported by Health and Human Services Loss/ther portable electronic device. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...

 ","Government Agency",""
